Name,Author,Fiction / non-fiction,Primary Genre
Nettle and bone,T. Kingfisher (Ursula Vernon),Fiction,Fantasy
The First Binding,R. R. Virdi,Fiction,Fantasy
Legacy of Ash,Matthew Ward,Fiction,Fantasy
Fourth Wing,Rebecca Yarros,Fiction,Fantasy
Fourth Wing,Rebecca Yarros,Fiction,Fantasy
Fourth Wing,Rebecca Yarros,Fiction,Fantasy
Iron Flame,Rebecca Yarros,Fiction,Fantasy
Iron Flame,Rebecca Yarros,Fiction,Fantasy
Fourth Wing (sprayed edge),Rebecca Yarros,Fiction,Fantasy
The Unmaking of June Farrow,Adrienne Young,Fiction,Fantasy
The Hitchhikers guide to the galaxy,Douglas Adams,Fiction,Science Fiction
Thunderhead,Douglas Preston & Lincoln Child,Fiction,Science Fiction
The Ferryman,Justin Cronin,Fiction,Science Fiction
This is How You Lose the Time War,Max Gladstone,Fiction,Science Fiction
Dune,Frank Herbert,Fiction,Science Fiction
The Three-Body Problem,Cixin Liu,Fiction,Science Fiction
The Dark Forest,Cixin Liu,Fiction,Science Fiction
Death's End,Cixin Liu,Fiction,Science Fiction
How high we go in the dark,Sequoia Nagamatsu,Fiction,Science Fiction
Lost in Time,A.G. Riddle,Fiction,Science Fiction
Meet Me in Another Life,Catriona Silvey,Fiction,Science Fiction
Children of Time,Adrian Tchaikovsky,Fiction,Science Fiction
Some Desperate Glory,Emily Tesh,Fiction,Science Fiction
Red Queen,Victoria Aveyard,Fiction,Young Adult
War Storm,Victoria Aveyard,Fiction,Young Adult
King's Cage,Victoria Aveyard,Fiction,Young Adult
Glass Sword,Victoria Aveyard,Fiction,Young Adult
Rule of Wolves,Leigh Bardugo,Fiction,Young Adult
King of Scars,Leigh Bardugo,Fiction,Young Adult
Six of Crows,Leigh Bardugo,Fiction,Young Adult
Crooked Kingdom,Leigh Bardugo,Fiction,Young Adult
Shadow and Bone,Leigh Bardugo,Fiction,Young Adult
Siege and Storm,Leigh Bardugo,Fiction,Young Adult
Ruin and Rising,Leigh Bardugo,Fiction,Young Adult
Crooked Kingdom,Leigh Bardugo,Fiction,Young Adult
This Wicked Fate,Kalynn Bayron,Fiction,Young Adult
You're Not Supposed to Die Tonight,Kalynn Bayron,Fiction,Young Adult
Silver in the Bone,Alexandra Bracken,Fiction,Young Adult
medusa,Jessie Burton,Fiction,Young Adult
The Nightblood Prince,Molly X. Chang,Fiction,Young Adult
The Ballad of Songbirds & Snakes,Suzanne Collins,Fiction,Young Adult
Skyestone,Adriana M. Giovanni,Fiction,Young Adult
Immortal Dark,Tigest Girma,Fiction,Young Adult
"Good Girl, Bad Blood",Holly Jackson,Fiction,Young Adult
As Good as Dead,Holly Jackson,Fiction,Young Adult
As Long As The Lemon Trees Grow,Zoulfa Katouh,Fiction,Young Adult
Forging Silver into Stars,Brigid Kemmerer,Fiction,Young Adult
Defy the Night,Brigid Kemmerer,Fiction,Young Adult
Defend the Dawn,Brigid Kemmerer,Fiction,Young Adult
A Curse So Dark and Lonely,Brigid Kemmerer,Fiction,Young Adult
A Heart So Fierce and Broken,Brigid Kemmerer,Fiction,Young Adult
A Vow So Bold and Deadly,Brigid Kemmerer,Fiction,Young Adult
Catfish Rolling,Clara Kumagai,Fiction,Young Adult
Destroy Me,Tahereh Mafi,Fiction,Young Adult
Shatter Me,Tahereh Mafi,Fiction,Young Adult
Unravel Me,Tahereh Mafi,Fiction,Young Adult
Ignite Me,Tahereh Mafi,Fiction,Young Adult
Restore Me,Tahereh Mafi,Fiction,Young Adult
Defy Me,Tahereh Mafi,Fiction,Young Adult
The Darkening,Sunya Mara,Fiction,Young Adult
The knife of never letting go,Patrick Ness,Fiction,Young Adult
The ask and the answer,Patrick Ness,Fiction,Young Adult
Monsters of Men,Patrick Ness,Fiction,Young Adult
If He Had Been With Me,Laura Nowlin,Fiction,Young Adult
Heartstopper 2,Alice Oseman,Fiction,Young Adult
Better than the Movies,Lynn Painter,Fiction,Young Adult
Powerful,Lauren Roberts,Fiction,Young Adult
Ruthless Vows,Rebecca Ross,Fiction,Young Adult
Aristotle and Dante Discover the Secrets of the Universe,Bejamin Alire Saenz,Fiction,Young Adult
Anatomy,Dana Schwartz,Fiction,Young Adult
They Both Die at the End,Adam Silvera,Fiction,Young Adult
Our Infinite Fates,Laura Steven,Fiction,Young Adult
She is a Haunting,Trang Thanh Tran,Fiction,Young Adult
Let's Split Up,Bill Wood,Fiction,Young Adult
The Watcher in the Shadows,Carlos Ruiz Zafon,Fiction,Young Adult
The Lies We Tell,Katie Zhao,Fiction,Young Adult
How We Fall Apart,Katie Zhao,Fiction,Young Adult
"October, October",Katya Balen,Fiction,Childrens & Teenage
How to Train Your Dragon,Cressida Cowell,Fiction,Childrens & Teenage
Toffee,Sarah Crossan,Fiction,Childrens & Teenage
