Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From
How Much of These Hills is Gold,C Pam Zhang,2021,9780349011455,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£8.99,322,,0,0,1,
A Little Life,Hanya Yanagihara,2016,9781447294832,Pan Macmillan,Picador,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£9.99,720,,1,0,1,
Brilliant Maps,Ian Wright,2021,9781846276637,Granta Books,na,FlexiBack,History ,"Historical Geography, Maps",Non-fiction,na,na,£12.99,210,,0,0,1,
Essential Medical Statistics,Betty R. Kirkwood and Jonathan A. C. Sterne,2005,9780865428713,Blackwell Science Ltd,na,Paperback,Academic,Applied Mathematics,Non-fiction,na,na,£45.95,501,,0,0,1,
Data Interpretation for Medical Students,Paul Hamilton and Ian Bickle,2012,9781905635771,Pastest Ltd,na,Paperback,Academic,"Medicine, Medical Study and Diagnosis",Non-fiction,na,na,£27.99,608,,0,0,1,
How We Fall Apart,Katie Zhao,2021,9781526652041,Bloomsbury,Bloomsbury YA,Paperback,Young Adult,"Children's & Teenage, Thrillers",Fiction,na,na,£7.99,298,,1,0,1,
The Rachel Incident,Caroline O'Donoghue,2023,9780349017754,Hachette,"Little, Brown",Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,304,,0,0,1,
Things We Hide From the Light,Lucy Score,2023,9781399722162,Hachette,Hodder and stoughton,Proof,Romance,Contemporary Romance,Fiction,Knockemout ,2,na,574,,0,0,1,
Maame,Jessica George,2023,9781399715638,Hachette,Hodder and stoughton,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Family & Relationships",Fiction,na,na,na,391,,0,0,1,
Perilous Times,Thomas D Lee,2023,9780356520902,Hachette,"Little, Brown",Proof,Fantasy,Fantasy,Fiction,na,na,na,534,,0,0,1,
Some Desperate Glory,Emily Tesh,2023,9780356519722,Hachette,"Little, Brown",Proof,Science Fiction,"Science Fiction, Space Opera",Fiction,na,na,na,438,,0,0,1,
The Invisible Life of Addie LaRue,V. E. Schwab,2022,9781803364186,Titan books,na,Hardback,Fantasy,Fantasy,Fiction,na,na,£18.99,545,,1,0,1,
Ada's Realm,Sharon Dodua Otoo,2023,9781529419016,Hachette,Quercus,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Fiction in Translation",Fiction,na,na,£16.99,303,,0,0,1,
Nora Goes Off Script,Annabel Monaghan,2023,9781399703024,Hachette,Hodder and stoughton,Paperback,Romance,Contemporary Romance,Fiction,na,na,£9.99,260,,0,0,1,
Six of Crows,Leigh Bardugo,2016,9781780622286,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,Six of Crows,1,£8.99,494,,1,1,1,
The Love Hypothesis,Ali Hazelwood,2021,9781408725764,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,na,na,£8.99,393,,1,0,1,
Elektra,Jennifer Saint,2023,9781472273956,Hachette,Headline,Paperback,Myths & Legends,"Myths & Legends, Historical Fiction",Fiction,na,na,£8.99,356,,0,0,1,
Destroy Me,Tahereh Mafi,2022,9780063309401,Harper Collins,Harper,Paperback,Young Adult,Young Adult Fantasy Romance,Fiction,Shatter Me,1.5,na,98,,0,0,1,
"Love, Theoretically",Ali Hazelwood,2023,9781408729021,Hachette,"Little, Brown",Proof,Romance,Contemporary Romance,Fiction,na,na,na,389,,0,0,1,
Anatomy,Dana Schwartz,2022,9780349433370,Hachette,"Little, Brown",Paperback,Young Adult,"Young Adult Historical, Fantasy",Fiction,na,na,£8.99,333,,0,0,1,
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,2018,9781408889510,Bloomsbury,Raven Books,Paperback,Crime & Mystery,"Crime & Mystery, Historical Thriller",Fiction,na,na,£8.99,507,,0,0,1,
Maror,Lavie Tidhar,2022,9781838931360,Bloomsbury,Head of Zeus,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,554,,0,0,2,
"Good Girl, Bad Blood",Holly Jackson,2020,9781405297752,Harper Collins,Electric Monkey,Paperback,Young Adult,"Children's & Teenage, Crime & Mystery",Fiction,A Good Girl's Guide to Murder,2,£7.99,415,,0,0,1,
As Good as Dead,Holly Jackson,2021,9780008509217,Harper Collins,Electric Monkey,Paperback,Young Adult,"Children's & Teenage, Crime & Mystery",Fiction,A Good Girl's Guide to Murder,3,£8.99,565,,0,0,1,
This is How You Lose the Time War,Max Gladstone,2019,9781529405231,Hachette,Quercus,Paperback with Flaps,Science Fiction,Science Fiction,Fiction,na,na,£10.99,198,,1,0,1,
Same Time Next Summer,Annabel Monaghan,2023,9781399718028,Hachette,Hodder and stoughton,Paperback,Romance,Contemporary Romance,Fiction,na,na,£9.99,285,,0,0,1,
The No-Show,Beth O'Leary,2023,9781529409147,Hachette,Quercus,Paperback,Romance,Contemporary Romance,Fiction,na,na,£8.99,392,,1,0,1,
The Wake-Up Call,Beth O'Leary,2023,9781529433296,Hachette,Quercus,Proof,Romance,Contemporary Romance,Fiction,na,na,na,407,,1,0,1,
The Colour of Magic,Terry Pratchett,1983,9780552166591,Random House,Transworld,Paperback,Fantasy,Fantasy,Fiction,The Discworld Series,1,£9.99,287,,1,0,1,
Glow,Raven Kennedy,2023,9781405955065,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,4,£9.99,714,,1,0,1,
Gleam,Raven Kennedy,2022,9781405955027,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,3,£9.99,663,,1,1,1,
Glint,Raven Kennedy,2022,9781405955041,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,2,£9.99,462,,1,1,1,
Gild,Raven Kennedy,2022,9781405955003,Penguin Random House,Penguin Books,Paperback,Fantasy,Fantasy Romance,Fiction,The Plated Prisoner,1,£9.99,386,,1,1,1,
Cult Classic,Sloane Crosley,2022,9781526636423,Bloomsbury,Bloomsbury Circus,Hardback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Romance",Fiction,na,na,£16.99,282,,1,0,1,
The Vanishing Half,Brit Bennett,2021,9780349701479,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,£8.99,366,,0,0,1,
Quidditch Through the Ages,J. K. Rowling,2020,9781526608123,Bloomsbury,Bloomsbury Children's Books,Hardback,Children's & Teenage,"Children's & Teenage, Fantasy",Fiction,Harry Potter,na,£25.00,160,,0,0,1,
The Tales of Beedle the Bard,J. K. Rowling,2022,9781526637895,Bloomsbury,Bloomsbury Children's Books,FlexiBack,Children's & Teenage,"Children's & Teenage, Fantasy",Fiction,Harry Potter,na,£14.99,160,,0,1,1,
Fantastic Beasts and Where to Find Them,J. K. Rowling,2020,9781526620316,Bloomsbury,Bloomsbury Children's Books,FlexiBack,Children's & Teenage,"Children's & Teenage, Fantasy",Fiction,Harry Potter,na,£14.99,160,,0,0,1,
The Feynman Lectures on Physics Volume 2,"Feynman, Leighton, and Sands",1989,9780201510041,Addison-Wesley,na,Hardback,Academic,Lectures on Physics,Non-fiction,Fenyman Lectures on Physics,2,£52.99,592,,0,0,1,
The Feynman Lectures on Physics Volume 1,"Feynman, Leighton, and Sands",1989,9780201510034,Addison-Wesley,na,Hardback,Academic,Lectures on Physics,Non-fiction,Fenyman Lectures on Physics,1,£26.71,560,,0,0,1,
The Feynman Lectures on Physics Volume 3,"Feynman, Leighton, and Sands",1989,9780201510058,Addison-Wesley,na,Hardback,Academic,Lectures on Physics,Non-fiction,Fenyman Lectures on Physics,3,£29.00,400,,0,0,1,
Prof Alan Turing Decoded,Dermot Turing,2015,9781841656779,The History Press,na,Hardback,Academic,"Science & Technology biographies, Coding Theory and Cryptology",Non-fiction,na,na,£20.00,319,,0,0,1,
The GCHQ Puzzle Book II,GCHQ,2018,9780241365434,Penguin Random House,Penguin Books,Paperback,Gifts,Puzzles & Quizzes,Non-fiction,The GCHQ Puzzle Books,2,£12.99,358,,0,0,1,
"Fashion, Faith and Fantasy in the New Physics of the Universe",Roger Penrose,2016,9780691119793,Princeton University Press,na,Hardback,Academic,"Academic, History of Science, Mathematics, Physics",Non-fiction,na,na,£15.99,501,,0,0,1,
The Great Reclamation,Rachel Heng,2023,9781035406418,Hachette,Headline,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Historical Fiction",Fiction,na,na,na,451,,0,0,1,
The Ferryman,Justin Cronin,2023,9781398718951,Hachette ,Orion,Proof,Science Fiction,"Science Fiction, Thriller",Fiction,na,na,na,546,,0,0,1,
Building Machine Learning Powered Applications,Emmanuel Ameisen,2020,9781492045113,O'Reilly Media,na,Paperback,Academic,"Machine Learning, Artificial Intelligence",Non-fiction,na,na,£52.99,238,,0,0,1,
Cracking the Coding Interview,Gayle Laakmann McDowell,2016,9780984782857,CareerCup,na,Paperback,Careers,"Careers & Achieving Success, Software Engineering",Non-fiction,na,na,£34.95,696,,0,0,1,
The God Delusion,Richard Dawkins,2016,9781784161927,Penguin Random House,Transworld,Paperback,Philosophy,"Philosophy of Religion, Agnosticism & Atheism",Non-fiction,na,na,£9.99,471,,0,0,1,
Homo Deus,Yuval Noah Harari,2016,9781784703936,Penguin Random House,Vintage,Paperback ,Sociology,"Popular Science, Social & Cultural History",Non-fiction,Yuval Noah Harari collection,2,£9.99,513,,0,0,1,
The GCHQ Puzzle Book I ,GCHQ,2016,9780718185541,Penguin Random House,Penguin Books,Paperback,Gifts,Puzzles & Quizzes,Non-fiction,The GCHQ Puzzle Books,1,£12.99,336,,0,0,1,
Fourth Wing,Rebecca Yarros,2023,9780349436999,Hachette,"Little, Brown",Hardback,Fantasy,Fantasy Romance,Fiction,The Empyrean Series,1,£20.00,498,,1,1,2,To Ferdia Fitzsimons
Fairy Tale,Stephen King,2023,9781399705455,Hachette,Hodder and stoughton,Paperback,Fantasy,Fantasy ,Fiction,na,na,£9.99,577,,1,0,1,
Love Marriage,Monica Ali,2022,9780349015507,Hachette,"Little, Brown",Paperback,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Family & Relationships",Fiction,na,na,£9.99,499,,0,0,1,
Twisted Love,Ana Huang,2022,9780349434278,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,Twisted,1,£9.99,358,,0,0,1,
The Cheat Sheet,Sarah Adams,2022,9781472297037,Hachette,Headline,Paperback,Romance,Contemporary Romance,Fiction,na,na,£9.99,311,,1,0,1,
Terms and Conditions,Lauren Asher,2022,9780349433455,Hachette,"Little, Brown",Paperback,Romance,Contemporary Romance,Fiction,Dreamland Billionaires,2,£9.99,477,,0,0,2,
Once Upon a Broken Heart,Stephanie Garber,2022,9781529380941,Hachette,Hodder and stoughton,Paperback,Fantasy,Fantasy Romance,Fiction,Once Upon a Broken Heart,1,£9.99,408,,1,0,1,To Emily Olive
Crooked Kingdom,Leigh Bardugo,2017,9781780622316,Hachette,Hachette Childrens,Paperback,Young Adult,Young Adult Fantasy,Fiction,Six of Crows,2,£8.99,536,,1,1,1,
Tress of the Emerald Sea,Brandon Sanderson,2023,9781399613378,Hachette,Orion,Hardback,Fantasy,Fantasy,Fiction,na,na,£22.00,369,,1,0,1,
A Life Worth Living,Tommy Jessop,2023,9781035411122,Hachette,Headline,Proof,Memoirs,"Memoirs, Film & Cinema, Disability",Non-fiction,na,na,na,334,,1,0,1,
Ever After,Kate Eberlen,2023,9781398712133,Hachette,Orion,Paperback,Romance,Contemporary Romance,Fiction,na,na,£8.99,408,,0,0,1,
Fourth Wing,Rebecca Yarros,2023,9780349437378,Hachette,"Little, Brown",Proof,Fantasy,Fantasy Romance,Fiction,Fourth Wing Proofs,The Scribe Quadrant,na,498,,1,1,1,
The God Delusion,Richard Dawkins,2007,9780552773317,Random House,Transworld,Paperback,Philosophy,"Philosophy of Religion, Agnosticism & Atheism",Non-fiction,na,na,£8.99,463,,0,0,1,
The Selfish Gene,Richard Dawkins,2006,9780199291151,Oxford University Press,na,Paperback,Popular Science,"Popular Science, Evolution",Non-fiction,na,na,£8.99,360,,0,0,1,
The Last Boyfriend,Nora Roberts,2012,9780425246030,Penguin Group,na,Paperback with Flaps,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,2,£8.99,336,,0,0,1,
The Next Always,Nora Roberts,2011,9780425243213,Penguin Group,na,Paperback with Flaps,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,1,£8.99,341,,0,0,1,
The Perfect Hope,Nora Roberts,2012,9780425246047,Penguin Group,na,Paperback with Flaps,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,The Inn Boonsboro Trilogy,3,£8.99,324,,0,0,1,
The First 3 Minutes,Steven Weinberg,1993,9780006540243,Harper Collins,Flamingo,Paperback,Academic,Mathematics and Science,Non-fiction,na,na,£5.99,212,,0,0,1,
Fourth Wing,Rebecca Yarros,2023,9780349437828,Hachette,"Little, Brown",Proof,Fantasy,Fantasy Romance,Fiction,Fourth Wing Proofs,The Infantry Quadrant,na,498,,1,1,1,To Jennifer McCallum
The Wild Card,Judy Murray,2023,9781398720305,Hachette,Orion,Proof,Modern & Contemporary Fiction,"Modern & Contemporary Fiction, Sport",Fiction,na,na,na,314,,0,0,1,
From Now Until Forever,Rowan Coleman,2023,9781399724142,Hachette,Hodder and stoughton,Proof,Romance,Contemporary Romance,Fiction,na,na,na,320,,0,0,1,
I Wish We Weren't Related,Radhika Sanghani,2023,9781035408733,Hachette,Headline,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,na,na,na,434,,0,0,1,
Silver in the Bone,Alexandra Bracken,2023,9781786542007,Hachette,Hachette Childrens,Hardback,Young Adult,YA Fantasy Romance,Fiction,Silver in the Bone,1,£16.99,474,,0,0,1,
